source_group,source_name,source_question,source_record_id,question,source_answer,action,duplicate_of,verification_status,verified_answer,dmbok_2017_pages,dmbok_2024_pages,notes
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,1,dsp1-q001,Which of the following is NOT a stage of the Data Quality Management Cycle?,Intervene,duplicate,chapter-13-q014,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,2,dsp1-q002,Which of the following is NOT included in the 2015 opinion of the European Data Protection Supervisor (EDPS) on digital ethics?,Right to request removal of personal data,added,,verified,Right to request removal of personal data,52,54,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,3,dsp1-q003,"Within the Data Governance framework, which component incorporates education, training, and raising awareness?",Communication,added,,verified,Communication,85,87,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,4,dsp1-q004,"In the Data Management Practices Hierarchy, advanced data practices include the following except:",Data Quality,added,,verified,Data Quality,39,41,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,5,dsp1-q005,Which position should be responsible for leading the Data Governance Council (DGC)?,Chief Data Steward or Chief Data Officer,added,,verified,Chief Data Steward or Chief Data Officer,76,76,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,6,dsp1-q006,Which of the following Knowledge Areas provides version control information about an organization’s datasets?,Metadata,added,,verified,Metadata,422,400,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,7,dsp1-q007,What is a hash?,An algorithm that converts text into encoded values,added,,verified,An algorithm that converts text into encoded values,227,218,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,8,dsp1-q008,Which type of metadata focuses on the content and condition of data and includes details related to Data Governance?,Business Metadata,duplicate,chapter-12-q006,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,9,dsp1-q009,Taxonomy refers to…,Any classification or controlled vocabulary,added,,verified,Any classification or controlled vocabulary,312,296,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,10,dsp1-q010,Which position is responsible for the quality and use of the organization's data assets?,Data Steward,added,,verified,Data Steward,77,76,
