id,section,number,type,knowledge_area,source_group,source_collection,source_name,source_question,question,options,correct_labels,answer_text,source_answer_labels,source_answer_text,verification_status,verification_note,reasoning,dmbok_evidence,dmbok_2017_pages,dmbok_revised_pages,dmbok_revised_section,simulator_eligible
chapter-1-q001,Chapter 1,1,multiple-choice,Data Management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),1,Please select the correct definition of Data Management from the options below.,"A. Data Management is the strict control of all plans, policies, programs and practices that enable the business strategy to be successfully executed. | B. Data Management is the development, execution and supervision of plans, policies, programs and practices that deliver, control, protect and enhance the value of data and information assets throughout their lifecycles. | C. Data Management is the development, execution and supervision of plans, policies, programs and practices that deliver, control, protect and enhance the value of data assets throughout their lifecycles. | D. Data Management is the development, execution and supervision of plans, policies, programs and practices that deliver, control, protect and enhance the value of information assets throughout their lifecycles.",B,"Data Management is the development, execution and supervision of plans, policies, programs and practices that deliver, control, protect and enhance the value of data and information assets throughout their lifecycles.",B,"Data Management is the development, execution and supervision of plans, policies, programs and practices that deliver, control, protect and enhance the value of data and information assets throughout their lifecycles.",verified,,"The correct option matches the DMBOK definition, relationship, or classification used on the cited page(s). The distractors either omit a required element, add an unsupported qualifier, or describe a neighboring concept rather than the one asked for.","Data Management is the development, execution, and supervision of plans, policies, programs, and practices that deliver, control, protect, and enhance the value of data and information assets throughout their lifecycles.",17,19,Data Management,True
chapter-1-q002,Chapter 1,2,multiple-choice,Data Management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),2,Data Management Professionals only work with the technical aspects related to data.,A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","• Establishing a common vocabulary for data management concepts and serving as the basis for best practices for data management professionals. Deriving value requires lifecycle management, so data management functions related to the data lifecycle are depicted in the center of the diagram.",17,43; 46,3.5 DAMA Data Management Framework Evolved,True
chapter-1-q003,Chapter 1,3,multiple-choice,Data Management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),3,Differentiating between data and information. Please select the correct answers based on the sentence below: [1] Here is a marketing report for the last month. [2] It is based on data from our data warehouse. [3] Next month these results. [4] Will be used to generate our month-over-month performance measure.,"A. [1] Information, [2] Information, [3] Data, [4] Information | B. [1] Data, [2] Information, [3] Data, [4] Data | C. [1] Data, [2] Data, [3] Data, [4] Information | D. [1] Information, [2] Data, [3] Data, [4] Information",D,"[1] Information, [2] Data, [3] Data, [4] Information",D,"[1] Information, [2] Data, [3] Data, [4] Information",verified,,"The correct option matches the DMBOK definition, relationship, or classification used on the cited page(s). The distractors either omit a required element, add an unsupported qualifier, or describe a neighboring concept rather than the one asked for.","Next quarter, these results [data] will be used to generate our quarter-over-quarter performance measures [information]”).",17,22,2.2 Data and Information,True
chapter-1-q004,Chapter 1,4,multi-select,Data Management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),4,Please select the answers that correctly describe the set of principles that recognize salient features of data management and guide data management practice.,A. Data is an asset with unique properties. | B. It takes Metadata to manage data. | C. The most important part of data management is security. | D. Data management is lifecycle management. | E. Effective data management requires leadership commitment. | F. Efficient data management requires a team of IT professionals only.,A; B; D; E,Data is an asset with unique properties.; It takes Metadata to manage data.; Data management is lifecycle management.; Effective data management requires leadership commitment.,A; B; D; E,Data is an asset with unique properties.; It takes Metadata to manage data.; Data management is lifecycle management.; Effective data management requires leadership commitment.,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",This balance can best be struck by following a set of principles that recognize salient features of data management and guide data management practice. Data is valuable • Data is an asset with unique properties • The value of data can and should be expressed in economic terms Data Management requirements are Business Requirements • Managing data means managing the quality of data • It takes Metadata to manage data • It takes planning to manage data • Data management requirements must drive Information…,22; 23,23; 24,2.4 Data Management Principles,True
chapter-1-q005,Chapter 1,5,multiple-choice,Data Management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),5,Value is the difference between the cost of a thing and the benefit derived from that thing.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",Value is the difference between the cost of a thing and the benefit derived from that thing.,24,26,2.5.2 Data Valuation,True
chapter-1-q006,Chapter 1,6,multi-select,Data Management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),6,Please select the correct general cost and benefit categories that can be applied consistently within an organization.,A. Cost of erasing data from servers | B. Cost of improving data | C. What the data could be sold for | D. Benefit of higher quality data | E. Cost of replacing data if it were lost | F. What competitors would pay for data,B; C; D; E; F,Cost of improving data; What the data could be sold for; Benefit of higher quality data; Cost of replacing data if it were lost; What competitors would pay for data,B; C; D; E; F,Cost of improving data; What the data could be sold for; Benefit of higher quality data; Cost of replacing data if it were lost; What competitors would pay for data,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","Since each organization’s data is unique to itself, an approach to data valuation needs to begin by articulating general cost and benefit categories that can be applied consistently within an organization.",24,26,2.5.2 Data Valuation,True
chapter-1-q007,Chapter 1,7,multi-select,Data Management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),7,Please select the answers that correctly describe where the costs of poor-quality data come from.,A. Scrap and rework | B. Organizational conflict | C. High job satisfaction | D. High productivity | E. Reputational costs | F. Compliance costs,A; B; E; F,Scrap and rework; Organizational conflict; Reputational costs; Compliance costs,A; B; E; F,Scrap and rework; Organizational conflict; Reputational costs; Compliance costs,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","Costs come from: • Scrap and rework • Workarounds and hidden correction processes • Organizational inefficiencies or low productivity • Organizational conflict • Low job satisfaction • Customer dissatisfaction • Opportunity costs, including inability to innovate • Compliance costs or fines • Reputational costs The corresponding benefits of high quality data…",25; 26,28,2.5.3 Data Quality,True
chapter-1-q008,Chapter 1,8,multiple-choice,Data Management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),8,Reduced risk is a benefit of high quality data.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","Producing high quality data requires planning, commitment, and a mindset that builds quality into processes and systems.",25; 26,28,2.5.3 Data Quality,True
chapter-1-q009,Chapter 1,9,multiple-choice,Data Management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),9,"The better an organization understands the lifecycle and lineage of its data, the better able it will be to manage its data. Please select the correct implication of the focus of data management on the data lifecycle.",A. Data Quality must be managed throughout the data lifecycle | B. Data Security must only be managed at the start of the data lifecycle | C. Metadata Quality is the most important part of the management process | D. Data Management efforts should focus on the most critical data last,A,Data Quality must be managed throughout the data lifecycle,A,Data Quality must be managed throughout the data lifecycle,verified,,"The correct option matches the DMBOK definition, relationship, or classification used on the cited page(s). The distractors either omit a required element, add an unsupported qualifier, or describe a neighboring concept rather than the one asked for.","The better an organization understands the lifecycle and lineage of its data, the better able it will be to manage its data. Figure 2 Data Lifecycle Key Activities • Data Quality must be managed throughout the data lifecycle: Data Quality Management is central to data management.",29,31,2.5.9 The Data Lifecycle,True
chapter-1-q010,Chapter 1,10,multiple-choice,Data Management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),10,Information gaps represent enterprise liabilities with potentially profound impacts on operational effectiveness and profitability.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",Information gaps represent enterprise liabilities with potentially profound impacts on operational effectiveness and profitability.,30,32,2.5.11 Data and Risk,True
chapter-2-q001,Chapter 2,1,multiple-choice,Data Handling Ethics,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),1,"Data handling ethics are concerned with how to procure, store, manage, use and dispose of data in ways that are aligned with ethical principles.",A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","Data handling ethics are concerned with how to procure, store, manage, use, and dispose of data in ways that are aligned with ethical principles. Figure 12 Context Diagram: Data Handling Ethics Definition: Data handling ethics are concerned with how to procure, store, manage, interpret, analyze / apply and dispose of data in ways that are aligned with ethical principles, including potential impacts on people and organizations.",49,51; 52,Data Handling Ethics,True
chapter-2-q002,Chapter 2,2,multi-select,Data Handling Ethics,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),2,"The ethics of data handling are complex, but are centred on several core concepts. Please select the correct answers.",A. Impact on machines | B. Impact on people | C. Potential for data management | D. Potential for misuse | E. Economic value of ethics | F. Economic value of data,B; D; F,Impact on people; Potential for misuse; Economic value of data,B; D; F,Impact on people; Potential for misuse; Economic value of data,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","The ethics of data handling are complex, but they center on several core concepts: • Impact on people: Because data represents characteristics of individuals and is used to make decisions that affect people’s lives, there is an imperative to manage its quality and reliability.",49,51,Data Handling Ethics,True
chapter-2-q003,Chapter 2,3,multiple-choice,Data Handling Ethics,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),3,Within the Data Handling Ethics Context Diagram a key deliverable is the Ethical Data Handling Strategy.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",Create an Ethical Data Handling Strategy (P) 4.,50,52,Data Handling Ethics,True
chapter-2-q004,Chapter 2,4,multi-select,Data Handling Ethics,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),4,"The Belmont principles that may be adapted for Information Management disciplines, include:",A. Respect for Persons | B. Respect for Machines | C. Beneficence | D. Criminality | E. Justice,A; C; E,Respect for Persons; Beneficence; Justice,A; C; E,Respect for Persons; Beneficence; Justice,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","For example, the Belmont Principles for medical research may be adapted in Information Management disciplines (US-HSS, 1979).",52,54,3.1 Ethical Principles for Data,True
chapter-2-q005,Chapter 2,5,multi-select,Data Handling Ethics,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),5,Please select the correct principles of the General Data Protection Regulation (GDPR) of the EU.,A. Purpose Limitation | B. Data Minimisation | C. Accuracy | D. Storage Limitation | E. Accountability | F. All of the above,F,All of the above,F,All of the above,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","18 HIPAA (Health Insurance Portability and Accountability Act) in the US, PIPEDA (Personal Information Protection and Electronic Documents Act) in Canada, the EU General Data Protection Regulation (GDPR) and other data protection / information privacy laws describe obligations toward the handling of personal identifying data (e.g., name, addresses,…",54,51,Data Handling Ethics,True
chapter-2-q006,Chapter 2,6,multiple-choice,Data Handling Ethics,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),6,Misleading visualisations could be an example where a base level of truthfulness and transparency are not adhered to.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","It also includes a base level of truthfulness and transparency – not using data to lie or mislead, and being transparent regarding the sources, uses, and intent behind an organization’s data handling. The Most Useless and Misleading Infographics on the Internet. http://bit.ly/1YDgURl See http://bit.ly/2tNktve Google “misleading data visualization” for additional examples.",57,59,3.4 Risks of Unethical Data Handling Practices,True
